name	type	units	sampling_frequency	description	low_cutoff	high_cutoff	notch	software_filters	status	status_description
MEG0113	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0112	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0111	megmag	T	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0122	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0123	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0121	megmag	T	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0132	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0133	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0131	megmag	T	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0143	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0142	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0141	megmag	T	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0213	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0212	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0211	megmag	T	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0222	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0223	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0221	megmag	T	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0232	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0233	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0231	megmag	T	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0243	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0242	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0241	megmag	T	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0313	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0312	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0311	megmag	T	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0322	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0323	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0321	megmag	T	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0333	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0332	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0331	megmag	T	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0343	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0342	megplanar	T/m	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
MEG0341	megmag	T	3000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
